[93m[4mUnused exports[24m[39m (16)
InfinityDatabase           class     src/lib/db.ts:16:14              
enhanceRecap               function  src/lib/ai.ts:372:23             
analyseStyle               function  src/lib/ai.ts:402:23             
enhanceMood                function  src/lib/ai.ts:451:23             
generateInsights           function  src/lib/ai.ts:478:23             
computeSymbolicDensity     function  src/lib/narrativeEngine.ts:247:17
countSyllables             function  src/lib/algorithms.ts:24:17      
computeEmotionalArc        function  src/lib/algorithms.ts:255:17     
computeReadability         function  src/lib/algorithms.ts:315:17     
estimateReadingTime        function  src/lib/algorithms.ts:350:17     
computeVocabularyRichness  function  src/lib/algorithms.ts:419:17     
analysePacing              function  src/lib/algorithms.ts:515:17     
analyseDocument            function  src/lib/algorithms.ts:690:17     
computeHapaxRatio          function  src/lib/algorithms.ts:720:17     
computeSentenceComplexity  function  src/lib/algorithms.ts:749:17     
computeParagraphRhythm     function  src/lib/algorithms.ts:787:17     
[93m[4mUnused exported types[24m[39m (16)
SavedChapter              interface  src/lib/db.ts:4:18               
NarrativeStage            type       src/lib/narrativeEngine.ts:18:13 
NarrativeArcResult        interface  src/lib/narrativeEngine.ts:25:18 
NarrativeStageSegment     interface  src/lib/narrativeEngine.ts:32:18 
SymbolicDensityResult     interface  src/lib/narrativeEngine.ts:215:18
TfIdfResult               interface  src/lib/algorithms.ts:67:18      
TextRankResult            interface  src/lib/algorithms.ts:133:18     
SentimentResult           interface  src/lib/algorithms.ts:210:18     
ReadabilityResult         interface  src/lib/algorithms.ts:302:18     
VocabularyResult          interface  src/lib/algorithms.ts:368:18     
SceneBoundary             interface  src/lib/algorithms.ts:450:18     
PacingLabel               type       src/lib/algorithms.ts:503:13     
PacingResult              interface  src/lib/algorithms.ts:505:18     
TextAnalytics             interface  src/lib/algorithms.ts:676:18     
SentenceComplexityResult  interface  src/lib/algorithms.ts:743:18     
ParagraphRhythmResult     interface  src/lib/algorithms.ts:781:18     
